date,total_sleep_time_weight,mental_recovery,wake_score,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,deep_score,latency_weight,sleep_efficiency_with_latency,total_rem_duration,latency_score,deep_weight,rem_weight,physical_recovery,movement_awakening,wake_weight,rem_score,sleep_cycle,total_light_duration,efficiency,sleep_duration,total_sleep_time_score,sleep_score
2025-08-20,34,68.0,7,34,34,59,0,76,533,403,0,39,,10,16,85,42,16,15,23,76.0,36.0,12,8,2,381,85.0,533,31,72
2025-08-21,34,82.0,9,28,28,15,2,41,410,135,0,11,,11,16,90,74,16,15,23,61.0,24.0,12,20,2,267,90.0,410,25,81
2025-08-21,34,5.0,12,11,11,0,0,0,23,22,0,0,,12,16,100,0,16,15,23,8.0,0.0,12,1,0,12,100.0,23,2,43
2025-08-22,34,70.0,9,15,25,22,1,44,476,201,0,9,,8,16,90,49,16,15,23,68.0,22.0,12,11,3,358,90.0,476,33,77
2025-08-23,34,64.0,8,4,4,58,0,75,598,450,0,31,,1,16,87,3,16,15,23,59.0,31.0,12,1,1,516,87.0,598,32,58
2025-08-24,34,89.0,8,29,38,11,11,70,534,135,3,34,,11,16,86,96,16,15,23,79.0,28.0,12,19,5,330,86.0,534,31,85
2025-08-25,34,44.0,4,19,49,30,4,48,390,165,0,90,,11,16,74,20,16,15,23,75.0,63.0,12,3,1,273,89.0,390,17,51
2025-08-26,34,50.0,7,4,25,7,0,47,406,72,0,26,,10,16,83,29,16,15,23,57.0,32.0,12,6,3,305,89.0,406,23,62
2025-08-27,34,61.0,9,42,42,36,1,43,413,339,0,9,,13,16,89,41,9,15,23,74.0,23.0,12,11,1,287,89.0,413,26,68
2025-08-28,34,67.0,8,50,50,33,3,62,492,284,0,29,,13,16,87,44,16,15,23,83.0,30.0,12,9,3,336,87.0,492,31,77
2025-08-29,34,79.0,8,46,52,26,7,61,478,221,0,25,,13,16,87,67,16,15,23,84.0,30.0,12,17,3,298,87.0,478,32,86
2025-08-30,34,90.0,9,39,39,5,5,47,534,154,0,19,,12,16,91,95,16,15,23,82.0,16.0,12,20,5,353,91.0,534,32,89
2025-08-31,34,61.0,6,43,43,72,0,85,520,416,0,53,,12,16,83,33,16,15,23,79.0,44.0,12,6,3,359,83.0,520,30,70
2025-09-01,34,62.0,8,14,14,40,2,57,425,272,0,24,,4,16,86,43,16,15,23,45.0,34.0,12,11,4,311,86.0,425,24,63
2025-09-02,34,57.0,7,23,26,44,5,68,438,214,0,38,,10,16,84,37,16,15,23,57.0,45.0,12,9,2,307,84.0,438,24,66
2025-09-03,34,58.0,7,12,12,54,1,80,500,349,0,36,,3,16,84,31,16,15,23,52.0,39.0,12,5,6,377,84.0,500,31,62
2025-09-04,34,85.0,7,45,56,45,7,75,530,246,3,43,,12,16,85,81,16,15,23,87.0,41.0,12,18,5,318,85.0,530,31,84
2025-09-05,34,64.0,5,36,36,54,1,87,500,258,0,81,,10,16,77,36,9,15,23,75.0,58.0,12,6,3,341,83.0,500,28,58
2025-09-06,34,74.0,8,18,18,5,1,68,535,113,0,25,,4,16,87,51,9,15,23,65.0,21.0,12,10,3,398,87.0,535,32,63
2025-09-07,34,44.0,7,31,31,59,1,68,464,346,0,34,,11,16,85,17,16,15,23,66.0,39.0,12,3,4,348,85.0,464,28,65
2025-09-07,34,60.0,8,0,0,13,0,13,119,118,0,10,,0,16,89,25,16,15,23,9.0,30.0,12,20,0,81,89.0,119,2,46
2025-09-08,34,53.0,5,36,45,20,1,43,360,171,0,62,,11,16,78,36,14,15,23,66.0,48.0,12,10,1,236,89.0,360,13,53
2025-09-09,34,65.0,6,18,35,31,2,54,417,254,0,52,,12,16,81,48,12,15,23,64.0,42.0,12,12,3,280,87.0,417,22,64
2025-09-10,34,69.0,9,34,34,18,2,46,485,200,0,7,,11,16,90,46,16,15,23,77.0,20.0,12,10,6,359,90.0,485,33,79
2025-09-11,34,66.0,9,16,25,11,0,45,452,133,0,15,,9,16,90,45,16,15,23,63.0,22.0,12,11,4,337,90.0,452,31,76
